,link,title,year,country,genre,rating,director
848,https://www.ivi.ru//watch/227695,Спасите Колю!,2021,Россия,Комедии,7.3,Дмитрий Губарев
849,https://www.ivi.ru//watch/ispyitanie-aulom,Испытание аулом,2023,Россия,Комедии,8.6,Ислам Сатыров
850,https://www.ivi.ru//watch/436114,Булки,2022,Россия,Комедии,7.3,Олег Асадулин
851,https://www.ivi.ru//watch/415769,Тень звезды,2020,Россия,Драмы,6.9,Дмитрий Губарев
852,https://www.ivi.ru//watch/470954,Любовники,2022,Россия,Комедии,7.3,Елена Хазанова
853,https://www.ivi.ru//watch/436466,Трое,2020,Россия,Драмы,6.6,Анна Меликян
854,https://www.ivi.ru//watch/400954,Красавец и чудовище,2014,Россия,Мелодрамы,7.7,Иван Криворучко
855,https://www.ivi.ru//watch/459158,Приказ «Уничтожить»,2019,Россия,Военные,7.3,Константин Статский
856,https://www.ivi.ru//watch/414380,"Мама, я женюсь!",2014,Россия,Мелодрамы,6.7,Петр Степин
857,https://www.ivi.ru//watch/133299,Ледокол,2016,Россия,Катастрофы,8.0,Николай Хомерики
858,https://www.ivi.ru//watch/487282,Моя ужасная сестра,2022,Россия,Комедии,7.9,Александр Галибин
859,https://www.ivi.ru//watch/207342,Любовницы,2019,Россия,Комедии,7.2,Елена Хазанова
860,https://www.ivi.ru//watch/467529,Умная Маша,2022,Россия,Комедии,7.3,Андрей Никифоров
861,https://www.ivi.ru//watch/433499,Артек. Большое путешествие,2022,Россия,Комедии,8.5,Карен Захаров
862,https://www.ivi.ru//watch/melodiya-na-dva-golosa,Мелодия на два голоса,2015,Россия,Мелодрамы,7.4,Сергей Мезенцев
