,id,name,rating_kp,rating_imdb,votes_kp,votes_imdb,year,genre,director,director_id,countries
8,855911,В плену обмана,6.083,0.0,4319,0,2014,мелодрама,Сергей Краснов,1230535,Россия
9,468279,Байкер,4.7,0.0,652,0,2010,"мелодрама, криминал",Илья Хотиненко,573258,Россия
10,731638,Она,6.116,0.0,577,0,2013,мелодрама,Лариса Садилова,224467,Россия
11,255356,Фартовый,6.199,5.6,10254,194,2006,"драма, криминал, боевик, военный",Владимир Яканин,1111575,Россия
12,934112,В ожидании волн и частиц,6.678,0.0,102,0,2015,документальный,Дмитрий Завильгельский,2878020,Россия
13,493918,Анизотропный мир,7.486,0.0,165,0,2009,документальный,Андрей Скляров,1660880,Россия
14,1144197,Лорик,6.538,7.4,404,79,2018,"драма, комедия, семейный",Алексей Злобин,1902089,"Армения, Кипр, Россия, Швеция, Швейцария"
15,473844,Путешествие в счастливую Аравию,5.661,0.0,139,0,1993,"драма, криминал",Валерий Наумов,572793,Россия
16,585431,ГАЗ. Русские машины: Дорога длиною в 70 лет,5.194,0.0,315,0,2002,"документальный, драма","Тимур Бекмамбетов, Бахыт Килибаев","464015, 284105",Россия
17,40775,Турецкий гамбит,7.238,6.9,94129,4924,2005,"боевик, триллер, детектив, приключения, военный",Джаник Файзиев,224398,"Россия, Болгария"
18,855928,Повелители снов,2.964,1.4,8032,215,2015,"комедия, фэнтези",Ирина Багрова,3784806,Россия
19,422826,Зачем ты ушел?,6.695,0.0,663,0,2008,мелодрама,Владимир Дмитриевский,266157,Россия
20,1378902,Герои. Закаленные северной широтой,7.538,0.0,759,0,2019,"документальный, военный",Сергей Ефремов,6086120,Россия
21,1354762,Тиннитус,7.028,6.6,295,21,2019,"документальный, музыка, биография",Даниил Зинченко,256883,Россия
22,1162783,Маша,6.209,5.7,7048,360,2020,"драма, триллер",Анастасия Пальчикова,1759861,Россия
23,40957,Прикованный,5.366,6.6,260,24,2002,драма,Валерий Рыбарев,231231,"Россия, Беларусь"
24,445838,Богатыри Online,4.176,0.0,160,0,2004,"фантастика, приключения",Александр Строев,724230,Россия
25,437448,Прячься!,6.224,6.0,5428,419,2010,"триллер, детектив",Джонни О’Райлли,678564,"Россия, Германия"
26,40771,"Трам-тарарам, или Бухты-барахты",6.181,5.1,1179,30,1993,комедия,Эльдор Уразбаев,269893,Россия
27,715464,Что творят мужчины!,3.321,4.8,48870,3567,2013,комедия,Сарик Андреасян,1627871,Россия
28,40850,Обыкновенный большевизм,4.572,4.1,419,21,2000,документальный,Евгений Цымбал,317704,Россия
